# Collision Energy Transfer Histogram
# E_neutral =     3.00 eV (FIXED), T_ion =     2.00 eV
# n_bg =  1.000E+21 m^-3
# CX weighted mean =       0.3005 eV, EL weighted mean =       0.0949 eV
# bin_center[eV]  CX_freq[s^-1/eV]  EL_freq[s^-1/eV]
 -4.160938E+00    0.000000E+00    0.000000E+00
 -3.790386E+00    0.000000E+00    0.000000E+00
 -3.419833E+00    0.000000E+00    0.000000E+00
 -3.049280E+00    3.972726E+05    2.915753E+05
 -2.678727E+00    2.177145E+06    1.611835E+06
 -2.308175E+00    2.676226E+06    2.069113E+06
 -1.937622E+00    2.892951E+06    2.364899E+06
 -1.567069E+00    2.837849E+06    2.503021E+06
 -1.196517E+00    2.730587E+06    2.642073E+06
 -8.259640E-01    2.523322E+06    2.897157E+06
 -4.554113E-01    2.342410E+06    3.886404E+06
 -8.485857E-02    2.103398E+06    5.402807E+07
  2.856941E-01    1.903025E+06    5.209549E+06
  6.562468E-01    1.764656E+06    2.490261E+06
  1.026800E+00    1.545282E+06    1.712628E+06
  1.397352E+00    1.342557E+06    1.410124E+06
  1.767905E+00    1.156967E+06    1.073889E+06
  2.138458E+00    1.080341E+06    9.254239E+05
  2.509010E+00    8.910283E+05    7.130791E+05
  2.879563E+00    8.066972E+05    6.809626E+05
  3.250116E+00    6.911554E+05    5.871281E+05
  3.620668E+00    5.914237E+05    4.396232E+05
  3.991221E+00    5.487092E+05    4.165659E+05
  4.361774E+00    4.326388E+05    3.080139E+05
  4.732327E+00    3.661365E+05    2.702744E+05
  5.102879E+00    3.263866E+05    2.430083E+05
  5.473432E+00    3.031386E+05    2.490297E+05
  5.843985E+00    2.506046E+05    1.881974E+05
  6.214537E+00    2.081951E+05    1.850237E+05
  6.585090E+00    1.800962E+05    1.198492E+05
  6.955643E+00    1.528057E+05    1.323942E+05
  7.326196E+00    1.158808E+05    1.062103E+05
  7.696748E+00    1.126556E+05    1.022592E+05
  8.067301E+00    1.034851E+05    6.857912E+04
  8.437854E+00    8.022434E+04    6.497317E+04
  8.808406E+00    6.994390E+04    5.519681E+04
  9.178959E+00    6.211911E+04    3.509088E+04
  9.549512E+00    4.591768E+04    4.154350E+04
  9.920064E+00    3.786731E+04    3.749280E+04
  1.029062E+01    3.845654E+04    3.016860E+04
  1.066117E+01    2.955278E+04    3.116531E+04
  1.103172E+01    2.493729E+04    1.655097E+04
  1.140228E+01    2.194308E+04    1.490683E+04
  1.177283E+01    2.118440E+04    1.692323E+04
  1.214338E+01    1.344901E+04    7.154023E+03
  1.251393E+01    1.013342E+04    8.613435E+03
  1.288449E+01    1.111109E+04    4.499352E+03
  1.325504E+01    6.002308E+03    2.805421E+03
  1.362559E+01    8.430905E+03    3.589495E+03
  1.399614E+01    1.000132E+04    5.886380E+03
  1.436670E+01    4.211382E+03    3.973852E+03
  1.473725E+01    3.288641E+03    3.754862E+03
  1.510780E+01    3.056451E+03    0.000000E+00
  1.547836E+01    2.979453E+03    4.122373E+03
  1.584891E+01    5.599626E+03    1.403186E+03
  1.621946E+01    2.344921E+03    0.000000E+00
  1.659001E+01    1.170621E+03    2.745477E+03
  1.696057E+01    2.669697E+03    3.052816E+03
  1.733112E+01    4.441531E+02    0.000000E+00
  1.770167E+01    3.128602E+03    4.631750E+03
  1.807222E+01    1.108594E+03    0.000000E+00
  1.844278E+01    0.000000E+00    0.000000E+00
  1.881333E+01    0.000000E+00    0.000000E+00
  1.918388E+01    7.069763E+02    0.000000E+00
  1.955443E+01    7.187792E+02    0.000000E+00
  1.992499E+01    1.467674E+03    0.000000E+00
  2.029554E+01    5.282904E+02    0.000000E+00
  2.066609E+01    1.154607E+03    0.000000E+00
  2.103665E+01    0.000000E+00    0.000000E+00
  2.140720E+01    0.000000E+00    0.000000E+00
  2.177775E+01    0.000000E+00    0.000000E+00
  2.214830E+01    0.000000E+00    0.000000E+00
  2.251886E+01    0.000000E+00    0.000000E+00
  2.288941E+01    0.000000E+00    1.864398E+03
  2.325996E+01    7.524866E+02    0.000000E+00
  2.363051E+01    0.000000E+00    0.000000E+00
  2.400107E+01    5.933875E+02    0.000000E+00
  2.437162E+01    0.000000E+00    0.000000E+00
  2.474217E+01    0.000000E+00    0.000000E+00
  2.511273E+01    0.000000E+00    0.000000E+00
