# Collision Energy Transfer Histogram
# E_neutral =     6.00 eV (FIXED), T_ion =     2.00 eV
# n_bg =  1.000E+21 m^-3
# CX weighted mean =      -2.8329 eV, EL weighted mean =      -0.8330 eV
# bin_center[eV]  CX_freq[s^-1/eV]  EL_freq[s^-1/eV]
 -7.160938E+00    0.000000E+00    0.000000E+00
 -6.790386E+00    0.000000E+00    0.000000E+00
 -6.419833E+00    0.000000E+00    0.000000E+00
 -6.049280E+00    5.085311E+05    3.522007E+05
 -5.678727E+00    2.760549E+06    1.932341E+06
 -5.308175E+00    3.353330E+06    2.325119E+06
 -4.937622E+00    3.578636E+06    2.551497E+06
 -4.567069E+00    3.468420E+06    2.468482E+06
 -4.196517E+00    3.301507E+06    2.411581E+06
 -3.825964E+00    3.014195E+06    2.219400E+06
 -3.455411E+00    2.770523E+06    2.156747E+06
 -3.084859E+00    2.459227E+06    2.002696E+06
 -2.714306E+00    2.203453E+06    1.872303E+06
 -2.343753E+00    2.022543E+06    1.794025E+06
 -1.973200E+00    1.754429E+06    1.670578E+06
 -1.602648E+00    1.510854E+06    1.767817E+06
 -1.232095E+00    1.291546E+06    1.772863E+06
 -8.615423E-01    1.197687E+06    2.104783E+06
 -4.909896E-01    9.806440E+05    3.057518E+06
 -1.204369E-01    8.820214E+05    5.960028E+07
  2.501158E-01    7.536488E+05    6.392943E+06
  6.206685E-01    6.413077E+05    1.955502E+06
  9.912212E-01    5.932612E+05    1.169497E+06
  1.361774E+00    4.651141E+05    7.676326E+05
  1.732327E+00    3.915916E+05    5.430717E+05
  2.102879E+00    3.482181E+05    4.393851E+05
  2.473432E+00    3.230532E+05    3.565104E+05
  2.843985E+00    2.660260E+05    2.897485E+05
  3.214537E+00    2.207442E+05    2.395854E+05
  3.585090E+00    1.904837E+05    1.762374E+05
  3.955643E+00    1.605491E+05    1.787720E+05
  4.326196E+00    1.219272E+05    1.345178E+05
  4.696748E+00    1.182195E+05    1.229293E+05
  5.067301E+00    1.090662E+05    8.632000E+04
  5.437854E+00    8.390980E+04    7.936281E+04
  5.808406E+00    7.281447E+04    7.160980E+04
  6.178959E+00    6.502018E+04    4.426415E+04
  6.549512E+00    4.784368E+04    5.254459E+04
  6.920064E+00    3.930290E+04    3.404035E+04
  7.290617E+00    3.986336E+04    4.028626E+04
  7.661170E+00    3.091697E+04    3.660819E+04
  8.031723E+00    2.599903E+04    2.529187E+04
  8.402275E+00    2.269557E+04    1.591965E+04
  8.772828E+00    2.167468E+04    2.188071E+04
  9.143381E+00    1.384186E+04    1.148749E+04
  9.513933E+00    1.056919E+04    5.911797E+03
  9.884486E+00    1.161830E+04    6.274277E+03
  1.025504E+01    6.146669E+03    6.267023E+03
  1.062559E+01    8.837715E+03    2.890108E+03
  1.099614E+01    1.046132E+04    6.155553E+03
  1.136670E+01    4.174858E+03    2.680235E+03
  1.173725E+01    3.349876E+03    3.961281E+03
  1.210780E+01    3.214581E+03    2.437430E+03
  1.247836E+01    2.856819E+03    1.467784E+03
  1.284891E+01    5.869589E+03    3.059658E+03
  1.321946E+01    2.401409E+03    2.315633E+03
  1.359001E+01    1.203766E+03    3.057275E+03
  1.396057E+01    2.829181E+03    1.788777E+03
  1.433112E+01    3.882198E+02    0.000000E+00
  1.470167E+01    3.246540E+03    4.724071E+03
  1.507222E+01    1.092789E+03    0.000000E+00
  1.544278E+01    0.000000E+00    0.000000E+00
  1.581333E+01    0.000000E+00    0.000000E+00
  1.618388E+01    7.512917E+02    0.000000E+00
  1.655443E+01    7.656404E+02    0.000000E+00
  1.692499E+01    1.566497E+03    0.000000E+00
  1.729554E+01    5.063044E+02    0.000000E+00
  1.766609E+01    1.131509E+03    0.000000E+00
  1.803665E+01    0.000000E+00    0.000000E+00
  1.840720E+01    0.000000E+00    0.000000E+00
  1.877775E+01    0.000000E+00    0.000000E+00
  1.914830E+01    0.000000E+00    0.000000E+00
  1.951886E+01    0.000000E+00    0.000000E+00
  1.988941E+01    0.000000E+00    2.007770E+03
  2.025996E+01    7.983562E+02    0.000000E+00
  2.063051E+01    0.000000E+00    0.000000E+00
  2.100107E+01    5.857883E+02    0.000000E+00
  2.137162E+01    0.000000E+00    0.000000E+00
  2.174217E+01    0.000000E+00    0.000000E+00
  2.211273E+01    0.000000E+00    0.000000E+00
