# Collision Energy Transfer Histogram
# E_neutral =     5.00 eV (FIXED), T_ion =     2.00 eV
# n_bg =  1.000E+21 m^-3
# CX weighted mean =      -1.8013 eV, EL weighted mean =      -0.5244 eV
# bin_center[eV]  CX_freq[s^-1/eV]  EL_freq[s^-1/eV]
 -6.160938E+00    0.000000E+00    0.000000E+00
 -5.790386E+00    0.000000E+00    0.000000E+00
 -5.419833E+00    0.000000E+00    0.000000E+00
 -5.049280E+00    4.767151E+05    3.324273E+05
 -4.678727E+00    2.592794E+06    1.811389E+06
 -4.308175E+00    3.157035E+06    2.218837E+06
 -3.937622E+00    3.377962E+06    2.430276E+06
 -3.567069E+00    3.282084E+06    2.413604E+06
 -3.196517E+00    3.130795E+06    2.346119E+06
 -2.825964E+00    2.865837E+06    2.209420E+06
 -2.455411E+00    2.639122E+06    2.167758E+06
 -2.084859E+00    2.348615E+06    2.114726E+06
 -1.714306E+00    2.108192E+06    2.078831E+06
 -1.343753E+00    1.939217E+06    2.106841E+06
 -9.732005E-01    1.685649E+06    2.200722E+06
 -6.026477E-01    1.454822E+06    2.892070E+06
 -2.320950E-01    1.246265E+06    7.991623E+06
  1.384577E-01    1.158112E+06    5.599022E+07
  5.090104E-01    9.501521E+05    2.531718E+06
  8.795631E-01    8.563439E+05    1.515776E+06
  1.250116E+00    7.327397E+05    1.113861E+06
  1.620668E+00    6.245751E+05    7.487662E+05
  1.991221E+00    5.783556E+05    6.285406E+05
  2.361774E+00    4.541562E+05    4.244081E+05
  2.732327E+00    3.829212E+05    3.646615E+05
  3.102879E+00    3.407943E+05    3.205129E+05
  3.473432E+00    3.163261E+05    3.114771E+05
  3.843985E+00    2.608262E+05    2.207659E+05
  4.214537E+00    2.165320E+05    2.172950E+05
  4.585090E+00    1.869827E+05    1.495719E+05
  4.955643E+00    1.578967E+05    1.480753E+05
  5.326196E+00    1.198960E+05    1.172563E+05
  5.696748E+00    1.163259E+05    1.023831E+05
  6.067301E+00    1.072273E+05    9.055745E+04
  6.437854E+00    8.265252E+04    7.130670E+04
  6.808406E+00    7.182742E+04    6.892678E+04
  7.178959E+00    6.405185E+04    3.901156E+04
  7.549512E+00    4.718603E+04    4.769568E+04
  7.920064E+00    3.881301E+04    4.248938E+04
  8.290617E+00    3.937624E+04    3.503298E+04
  8.661170E+00    3.047268E+04    3.236298E+04
  9.031723E+00    2.564609E+04    1.996351E+04
  9.402275E+00    2.243541E+04    1.639606E+04
  9.772828E+00    2.149596E+04    1.753723E+04
  1.014338E+01    1.370420E+04    1.161908E+04
  1.051393E+01    1.042581E+04    5.830079E+03
  1.088449E+01    1.145917E+04    7.753677E+03
  1.125504E+01    6.095001E+03    3.330226E+03
  1.162559E+01    8.712541E+03    2.960378E+03
  1.199614E+01    1.031296E+04    6.061809E+03
  1.236670E+01    4.181346E+03    2.664642E+03
  1.273725E+01    3.325459E+03    6.537572E+03
  1.310780E+01    3.164693E+03    0.000000E+00
  1.347836E+01    2.887949E+03    1.273878E+03
  1.384891E+01    5.784512E+03    4.356726E+03
  1.421946E+01    2.381739E+03    0.000000E+00
  1.459001E+01    1.192136E+03    4.057905E+03
  1.496057E+01    2.780812E+03    1.748485E+03
  1.533112E+01    4.042163E+02    0.000000E+00
  1.570167E+01    3.208727E+03    4.678078E+03
  1.607222E+01    1.095987E+03    0.000000E+00
  1.644278E+01    0.000000E+00    0.000000E+00
  1.681333E+01    0.000000E+00    0.000000E+00
  1.718388E+01    7.380399E+02    0.000000E+00
  1.755443E+01    7.517169E+02    0.000000E+00
  1.792499E+01    1.537313E+03    0.000000E+00
  1.829554E+01    5.116404E+02    0.000000E+00
  1.866609E+01    1.137457E+03    0.000000E+00
  1.903665E+01    0.000000E+00    0.000000E+00
  1.940720E+01    0.000000E+00    0.000000E+00
  1.977775E+01    0.000000E+00    0.000000E+00
  2.014830E+01    0.000000E+00    0.000000E+00
  2.051886E+01    0.000000E+00    0.000000E+00
  2.088941E+01    0.000000E+00    1.968090E+03
  2.125996E+01    7.847369E+02    0.000000E+00
  2.163051E+01    0.000000E+00    0.000000E+00
  2.200107E+01    5.870066E+02    0.000000E+00
  2.237162E+01    0.000000E+00    0.000000E+00
  2.274217E+01    0.000000E+00    0.000000E+00
  2.311273E+01    0.000000E+00    0.000000E+00
