# Collision Energy Transfer Histogram
# E_neutral =     2.00 eV (FIXED), T_ion =     2.00 eV
# n_bg =  1.000E+21 m^-3
# CX weighted mean =       1.3852 eV, EL weighted mean =       0.4078 eV
# bin_center[eV]  CX_freq[s^-1/eV]  EL_freq[s^-1/eV]
 -3.160938E+00    0.000000E+00    0.000000E+00
 -2.790386E+00    0.000000E+00    0.000000E+00
 -2.419833E+00    0.000000E+00    0.000000E+00
 -2.049280E+00    3.434297E+05    2.754849E+05
 -1.678727E+00    1.899738E+06    1.635174E+06
 -1.308175E+00    2.362897E+06    2.233850E+06
 -9.376221E-01    2.585875E+06    2.725335E+06
 -5.670694E-01    2.565279E+06    3.467198E+06
 -1.965167E-01    2.494991E+06    1.555654E+07
  1.740360E-01    2.330059E+06    4.135949E+07
  5.445887E-01    2.183824E+06    3.069112E+06
  9.151414E-01    1.976959E+06    2.232439E+06
  1.285694E+00    1.801114E+06    1.767475E+06
  1.656247E+00    1.679349E+06    1.399818E+06
  2.026800E+00    1.477015E+06    1.228496E+06
  2.397352E+00    1.288049E+06    1.073866E+06
  2.767905E+00    1.113228E+06    8.793432E+05
  3.138458E+00    1.042008E+06    7.404499E+05
  3.509010E+00    8.623857E+05    6.281140E+05
  3.879563E+00    7.826693E+05    5.934188E+05
  4.250116E+00    6.701916E+05    5.110830E+05
  4.620668E+00    5.749546E+05    3.938653E+05
  4.991221E+00    5.338892E+05    3.759266E+05
  5.361774E+00    4.220892E+05    3.015650E+05
  5.732327E+00    3.580717E+05    2.476083E+05
  6.102879E+00    3.194817E+05    2.210432E+05
  6.473432E+00    2.967398E+05    2.276912E+05
  6.843985E+00    2.455732E+05    1.746125E+05
  7.214537E+00    2.040682E+05    1.779055E+05
  7.585090E+00    1.767350E+05    1.189273E+05
  7.955643E+00    1.503967E+05    1.184445E+05
  8.326196E+00    1.139138E+05    1.013711E+05
  8.696748E+00    1.108995E+05    8.325295E+04
  9.067301E+00    1.015496E+05    6.121453E+04
  9.437854E+00    7.907339E+04    7.372772E+04
  9.808406E+00    6.906376E+04    5.114019E+04
  1.017896E+01    6.115372E+04    3.856757E+04
  1.054951E+01    4.531643E+04    3.475586E+04
  1.092006E+01    3.741869E+04    3.842518E+04
  1.129062E+01    3.803718E+04    2.944122E+04
  1.166117E+01    2.906377E+04    2.513607E+04
  1.203172E+01    2.458020E+04    2.126831E+04
  1.240228E+01    2.171687E+04    8.044035E+03
  1.277283E+01    2.105981E+04    1.912436E+04
  1.314338E+01    1.333801E+04    5.605337E+03
  1.351393E+01    9.983291E+03    9.569999E+03
  1.388449E+01    1.091365E+04    3.014123E+03
  1.425504E+01    5.965035E+03    1.615364E+03
  1.462559E+01    8.265690E+03    3.687621E+03
  1.499614E+01    9.834697E+03    5.793331E+03
  1.536670E+01    4.240414E+03    3.972596E+03
  1.573725E+01    3.280050E+03    5.081200E+03
  1.610780E+01    2.996297E+03    0.000000E+00
  1.647836E+01    3.047859E+03    2.802563E+03
  1.684891E+01    5.495516E+03    1.398917E+03
  1.721946E+01    2.328307E+03    1.578672E+03
  1.759001E+01    1.161535E+03    0.000000E+00
  1.796057E+01    2.602324E+03    4.160699E+03
  1.833112E+01    4.701979E+02    0.000000E+00
  1.870167E+01    3.084858E+03    4.548455E+03
  1.907222E+01    1.119713E+03    0.000000E+00
  1.944278E+01    0.000000E+00    0.000000E+00
  1.981333E+01    0.000000E+00    0.000000E+00
  2.018388E+01    6.876548E+02    0.000000E+00
  2.055443E+01    6.980356E+02    0.000000E+00
  2.092499E+01    1.423296E+03    0.000000E+00
  2.129554E+01    5.413383E+02    0.000000E+00
  2.166609E+01    1.167336E+03    0.000000E+00
  2.203665E+01    0.000000E+00    0.000000E+00
  2.240720E+01    0.000000E+00    0.000000E+00
  2.277775E+01    0.000000E+00    0.000000E+00
  2.314830E+01    0.000000E+00    0.000000E+00
  2.351886E+01    0.000000E+00    0.000000E+00
  2.388941E+01    0.000000E+00    1.796542E+03
  2.425996E+01    7.321407E+02    0.000000E+00
  2.463051E+01    0.000000E+00    0.000000E+00
  2.500107E+01    5.998253E+02    0.000000E+00
  2.537162E+01    0.000000E+00    0.000000E+00
  2.574217E+01    0.000000E+00    0.000000E+00
  2.611273E+01    0.000000E+00    0.000000E+00
