# Collision Energy Transfer Histogram
# E_neutral =     9.00 eV (FIXED), T_ion =     2.00 eV
# n_bg =  1.000E+21 m^-3
# CX weighted mean =      -5.8910 eV, EL weighted mean =      -1.7576 eV
# bin_center[eV]  CX_freq[s^-1/eV]  EL_freq[s^-1/eV]
 -1.016094E+01    0.000000E+00    0.000000E+00
 -9.790386E+00    0.000000E+00    0.000000E+00
 -9.419833E+00    0.000000E+00    0.000000E+00
 -9.049280E+00    5.864868E+05    4.196514E+05
 -8.678727E+00    3.173494E+06    2.217561E+06
 -8.308175E+00    3.839800E+06    2.648783E+06
 -7.937622E+00    4.079803E+06    2.879907E+06
 -7.567069E+00    3.937382E+06    2.801524E+06
 -7.196517E+00    3.735016E+06    2.625570E+06
 -6.825964E+00    3.394001E+06    2.459612E+06
 -6.455411E+00    3.110624E+06    2.251823E+06
 -6.084859E+00    2.748181E+06    2.105009E+06
 -5.714306E+00    2.455460E+06    1.887709E+06
 -5.343753E+00    2.245389E+06    1.708416E+06
 -4.973200E+00    1.941014E+06    1.500135E+06
 -4.602648E+00    1.665506E+06    1.392951E+06
 -4.232095E+00    1.418301E+06    1.241474E+06
 -3.861542E+00    1.310277E+06    1.078680E+06
 -3.490990E+00    1.069801E+06    9.724386E+05
 -3.120437E+00    9.591842E+05    9.584144E+05
 -2.749884E+00    8.157174E+05    9.703283E+05
 -2.379332E+00    6.921313E+05    9.404063E+05
 -2.008779E+00    6.380726E+05    8.865385E+05
 -1.638226E+00    4.987437E+05    9.922953E+05
 -1.267673E+00    4.185902E+05    1.134923E+06
 -8.971207E-01    3.711804E+05    1.589935E+06
 -5.265680E-01    3.435771E+05    2.677696E+06
 -1.560153E-01    2.820143E+05    6.033202E+07
  2.145374E-01    2.336010E+05    1.192723E+07
  5.850901E-01    2.011461E+05    1.843740E+06
  9.556428E-01    1.689023E+05    1.027007E+06
  1.326196E+00    1.281048E+05    5.568696E+05
  1.696748E+00    1.240899E+05    3.856015E+05
  2.067301E+00    1.145423E+05    2.674413E+05
  2.437854E+00    8.779333E+04    1.829907E+05
  2.808406E+00    7.592019E+04    1.328823E+05
  3.178959E+00    6.793452E+04    1.123506E+05
  3.549512E+00    4.988415E+04    8.250224E+04
  3.920064E+00    4.083077E+04    6.758445E+04
  4.290617E+00    4.140440E+04    5.864274E+04
  4.661170E+00    3.222078E+04    4.709624E+04
  5.031723E+00    2.705566E+04    4.120667E+04
  5.402275E+00    2.351520E+04    3.499632E+04
  5.772828E+00    2.228525E+04    2.999497E+04
  6.143381E+00    1.428101E+04    1.438913E+04
  6.513933E+00    1.099043E+04    1.214148E+04
  6.884486E+00    1.205569E+04    1.266538E+04
  7.255039E+00    6.314673E+03    6.942217E+03
  7.625592E+00    9.172649E+03    5.219467E+03
  7.996144E+00    1.088450E+04    8.622909E+03
  8.366697E+00    4.177734E+03    2.734693E+03
  8.737250E+00    3.437095E+03    4.404052E+03
  9.107802E+00    3.352215E+03    3.890329E+03
  9.478355E+00    2.803135E+03    0.000000E+00
  9.848908E+00    6.105573E+03    4.711143E+03
  1.021946E+01    2.464049E+03    3.566579E+03
  1.059001E+01    1.240135E+03    1.803877E+03
  1.096057E+01    2.956733E+03    1.905841E+03
  1.133112E+01    3.515312E+02    0.000000E+00
  1.170167E+01    3.354477E+03    4.921657E+03
  1.207222E+01    1.091726E+03    0.000000E+00
  1.244278E+01    0.000000E+00    0.000000E+00
  1.281333E+01    0.000000E+00    0.000000E+00
  1.318388E+01    7.855871E+02    0.000000E+00
  1.355443E+01    8.013891E+02    0.000000E+00
  1.392499E+01    1.640867E+03    0.000000E+00
  1.429554E+01    4.978693E+02    0.000000E+00
  1.466609E+01    1.120905E+03    0.000000E+00
  1.503665E+01    0.000000E+00    0.000000E+00
  1.540720E+01    0.000000E+00    0.000000E+00
  1.577775E+01    0.000000E+00    0.000000E+00
  1.614830E+01    0.000000E+00    0.000000E+00
  1.651886E+01    0.000000E+00    0.000000E+00
  1.688941E+01    0.000000E+00    2.088982E+03
  1.725996E+01    8.333028E+02    0.000000E+00
  1.763051E+01    0.000000E+00    0.000000E+00
  1.800107E+01    5.868194E+02    0.000000E+00
  1.837162E+01    0.000000E+00    0.000000E+00
  1.874217E+01    0.000000E+00    0.000000E+00
  1.911273E+01    0.000000E+00    0.000000E+00
