# Collision Energy Transfer Histogram
# E_neutral =     8.00 eV (FIXED), T_ion =     2.00 eV
# n_bg =  1.000E+21 m^-3
# CX weighted mean =      -4.8760 eV, EL weighted mean =      -1.4491 eV
# bin_center[eV]  CX_freq[s^-1/eV]  EL_freq[s^-1/eV]
 -9.160938E+00    0.000000E+00    0.000000E+00
 -8.790386E+00    0.000000E+00    0.000000E+00
 -8.419833E+00    0.000000E+00    0.000000E+00
 -8.049280E+00    5.627749E+05    3.956027E+05
 -7.678727E+00    3.047655E+06    2.140812E+06
 -7.308175E+00    3.691159E+06    2.541157E+06
 -6.937622E+00    3.926209E+06    2.765589E+06
 -6.567069E+00    3.793228E+06    2.679781E+06
 -6.196517E+00    3.601307E+06    2.565727E+06
 -5.825964E+00    3.276496E+06    2.360816E+06
 -5.455411E+00    3.004982E+06    2.214505E+06
 -5.084859E+00    2.658117E+06    2.068659E+06
 -4.714306E+00    2.376565E+06    1.855989E+06
 -4.343753E+00    2.175364E+06    1.679771E+06
 -3.973200E+00    1.882104E+06    1.492976E+06
 -3.602648E+00    1.616398E+06    1.407914E+06
 -3.232095E+00    1.377873E+06    1.278141E+06
 -2.861542E+00    1.274167E+06    1.144817E+06
 -2.490990E+00    1.040976E+06    1.074278E+06
 -2.120437E+00    9.340489E+05    1.135555E+06
 -1.749884E+00    7.954421E+05    1.218458E+06
 -1.379332E+00    6.753773E+05    1.287931E+06
 -1.008779E+00    6.232641E+05    1.521831E+06
 -6.382261E-01    4.874876E+05    2.253030E+06
 -2.676734E-01    4.094747E+05    6.175259E+06
  1.028793E-01    3.634319E+05    6.395872E+07
  4.734320E-01    3.366930E+05    2.534531E+06
  8.439847E-01    2.766111E+05    1.234131E+06
  1.214537E+00    2.292766E+05    7.205174E+05
  1.585090E+00    1.975665E+05    4.609223E+05
  1.955643E+00    1.660526E+05    3.521258E+05
  2.326196E+00    1.260268E+05    2.467724E+05
  2.696748E+00    1.221031E+05    1.846251E+05
  3.067301E+00    1.127197E+05    1.562977E+05
  3.437854E+00    8.648336E+04    1.319389E+05
  3.808406E+00    7.486260E+04    8.543406E+04
  4.178959E+00    6.696131E+04    7.056640E+04
  4.549512E+00    4.919436E+04    5.947871E+04
  4.920064E+00    4.031168E+04    6.311578E+04
  5.290617E+00    4.087894E+04    3.732361E+04
  5.661170E+00    3.178944E+04    4.287991E+04
  6.031723E+00    2.670372E+04    2.689985E+04
  6.402275E+00    2.323644E+04    3.290480E+04
  6.772828E+00    2.207005E+04    3.102088E+04
  7.143381E+00    1.413082E+04    1.283666E+04
  7.513933E+00    1.085142E+04    7.997188E+03
  7.884486E+00    1.191567E+04    9.677969E+03
  8.255039E+00    6.256819E+03    4.868157E+03
  8.625592E+00    9.066657E+03    2.763543E+03
  8.996144E+00    1.074672E+04    6.352897E+03
  9.366697E+00    4.173499E+03    4.429812E+03
  9.737250E+00    3.406217E+03    4.053641E+03
  1.010780E+01    3.308082E+03    2.451589E+03
  1.047836E+01    2.815267E+03    1.313764E+03
  1.084891E+01    6.029638E+03    4.666798E+03
  1.121946E+01    2.442643E+03    2.234553E+03
  1.159001E+01    1.227862E+03    1.772591E+03
  1.196057E+01    2.916605E+03    1.867881E+03
  1.233112E+01    3.620710E+02    1.147526E+03
  1.270167E+01    3.319253E+03    3.708928E+03
  1.307222E+01    1.090838E+03    0.000000E+00
  1.344278E+01    0.000000E+00    0.000000E+00
  1.381333E+01    0.000000E+00    0.000000E+00
  1.418388E+01    7.748906E+02    0.000000E+00
  1.455443E+01    7.902792E+02    0.000000E+00
  1.492499E+01    1.617833E+03    0.000000E+00
  1.529554E+01    4.996392E+02    0.000000E+00
  1.566609E+01    1.123368E+03    0.000000E+00
  1.603665E+01    0.000000E+00    0.000000E+00
  1.640720E+01    0.000000E+00    0.000000E+00
  1.677775E+01    0.000000E+00    0.000000E+00
  1.714830E+01    0.000000E+00    0.000000E+00
  1.751886E+01    0.000000E+00    0.000000E+00
  1.788941E+01    0.000000E+00    2.065105E+03
  1.825996E+01    8.224445E+02    0.000000E+00
  1.863051E+01    0.000000E+00    0.000000E+00
  1.900107E+01    5.858527E+02    0.000000E+00
  1.937162E+01    0.000000E+00    0.000000E+00
  1.974217E+01    0.000000E+00    0.000000E+00
  2.011273E+01    0.000000E+00    0.000000E+00
