# Collision Energy Transfer Histogram
# E_neutral =     4.00 eV (FIXED), T_ion =     2.00 eV
# n_bg =  1.000E+21 m^-3
# CX weighted mean =      -0.7586 eV, EL weighted mean =      -0.2156 eV
# bin_center[eV]  CX_freq[s^-1/eV]  EL_freq[s^-1/eV]
 -5.161560E+00    0.000000E+00    0.000000E+00
 -4.790999E+00    0.000000E+00    0.000000E+00
 -4.420438E+00    0.000000E+00    0.000000E+00
 -4.049877E+00    4.385957E+05    3.089967E+05
 -3.679316E+00    2.398267E+06    1.691859E+06
 -3.308755E+00    2.934128E+06    2.109339E+06
 -2.938195E+00    3.154152E+06    2.367683E+06
 -2.567634E+00    3.073240E+06    2.380010E+06
 -2.197073E+00    2.941952E+06    2.347581E+06
 -1.826512E+00    2.704574E+06    2.344553E+06
 -1.455951E+00    2.495608E+06    2.404192E+06
 -1.085390E+00    2.229755E+06    2.522609E+06
 -7.148291E-01    2.007161E+06    2.921899E+06
 -3.442682E-01    1.852357E+06    4.575447E+06
  2.629266E-02    1.615094E+06    5.684303E+07
  3.968536E-01    1.398515E+06    3.534096E+06
  7.674145E-01    1.203054E+06    1.928127E+06
  1.137975E+00    1.117885E+06    1.347603E+06
  1.508536E+00    9.206731E+05    9.928365E+05
  1.879097E+00    8.313327E+05    8.421317E+05
  2.249658E+00    7.117240E+05    7.265751E+05
  2.620219E+00    6.080627E+05    5.212962E+05
  2.990780E+00    5.645157E+05    4.745615E+05
  3.361341E+00    4.427242E+05    3.567181E+05
  3.731902E+00    3.742903E+05    2.920726E+05
  4.102463E+00    3.342334E+05    2.707959E+05
  4.473023E+00    3.085393E+05    2.706103E+05
  4.843584E+00    2.563698E+05    2.074206E+05
  5.214145E+00    2.127911E+05    1.866533E+05
  5.584706E+00    1.835130E+05    1.343829E+05
  5.955267E+00    1.546721E+05    1.353160E+05
  6.325828E+00    1.185134E+05    1.161048E+05
  6.696389E+00    1.144664E+05    9.272031E+04
  7.066950E+00    1.053684E+05    8.078283E+04
  7.437511E+00    8.141969E+04    7.254958E+04
  7.808072E+00    7.086721E+04    6.616123E+04
  8.178632E+00    6.308351E+04    3.734492E+04
  8.549193E+00    4.654189E+04    4.173049E+04
  8.919754E+00    3.833289E+04    3.910319E+04
  9.290315E+00    3.890502E+04    3.322962E+04
  9.660876E+00    3.001884E+04    3.363832E+04
  1.003144E+01    2.529179E+04    1.555706E+04
  1.040200E+01    2.218338E+04    1.540779E+04
  1.077256E+01    2.133117E+04    1.621178E+04
  1.114312E+01    1.357223E+04    1.167918E+04
  1.151368E+01    1.028046E+04    8.712111E+03
  1.188424E+01    1.129080E+04    3.191173E+03
  1.225480E+01    6.046325E+03    2.801533E+03
  1.262536E+01    8.577757E+03    4.951502E+03
  1.299592E+01    1.015978E+04    5.978366E+03
  1.336648E+01    4.192822E+03    2.658200E+03
  1.373705E+01    3.304527E+03    5.070789E+03
  1.410761E+01    3.112130E+03    0.000000E+00
  1.447817E+01    2.927856E+03    1.273543E+03
  1.484873E+01    5.694884E+03    4.298109E+03
  1.521929E+01    2.362796E+03    0.000000E+00
  1.558985E+01    1.180969E+03    2.751860E+03
  1.596041E+01    2.728118E+03    3.051885E+03
  1.633097E+01    4.226197E+02    0.000000E+00
  1.670153E+01    3.169510E+03    4.650802E+03
  1.707209E+01    1.101041E+03    0.000000E+00
  1.744265E+01    0.000000E+00    0.000000E+00
  1.781322E+01    0.000000E+00    0.000000E+00
  1.818378E+01    7.234244E+02    0.000000E+00
  1.855434E+01    7.362769E+02    0.000000E+00
  1.892490E+01    1.504784E+03    0.000000E+00
  1.929546E+01    5.187573E+02    0.000000E+00
  1.966602E+01    1.144964E+03    0.000000E+00
  2.003658E+01    0.000000E+00    0.000000E+00
  2.040714E+01    0.000000E+00    0.000000E+00
  2.077770E+01    0.000000E+00    0.000000E+00
  2.114826E+01    0.000000E+00    0.000000E+00
  2.151882E+01    0.000000E+00    0.000000E+00
  2.188939E+01    0.000000E+00    1.922883E+03
  2.225995E+01    7.696248E+02    0.000000E+00
  2.263051E+01    0.000000E+00    0.000000E+00
  2.300107E+01    5.893793E+02    0.000000E+00
  2.337163E+01    0.000000E+00    0.000000E+00
  2.374219E+01    0.000000E+00    0.000000E+00
  2.411275E+01    0.000000E+00    0.000000E+00
