time[s], delta_E_total[W/m^3], delta_E_cx[W/m^3], delta_E_el[W/m^3]
  8.800000E-007,  4.193048E+006,  1.184847E+006,  3.008201E+006
  8.900000E-007,  9.855113E+005,  1.940803E+006, -9.552917E+005
  9.000000E-007, -1.286847E+006, -9.990639E+005, -2.877830E+005
  9.100000E-007, -2.330116E+006, -1.353169E+006, -9.769472E+005
  9.200000E-007,  1.152987E+006,  1.150409E+006,  2.578125E+003
  9.300000E-007,  5.200092E+005,  1.456452E+006, -9.364424E+005
  9.400000E-007, -5.707285E+005,  1.407301E+006, -1.978030E+006
  9.500000E-007,  1.905858E+006,  1.277749E+006,  6.281092E+005
  9.600000E-007, -1.652843E+006, -3.262547E+005, -1.326589E+006
  9.700000E-007,  7.627070E+005, -1.852250E+006,  2.614957E+006
  9.800000E-007, -1.848675E+006, -1.284182E+006, -5.644931E+005
  9.900000E-007, -9.133128E+005, -9.601822E+005,  4.686940E+004
  1.000000E-006, -9.499218E+005, -3.436956E+006,  2.487034E+006
  1.010000E-006,  3.054051E+005, -3.152843E+005,  6.206894E+005
  1.020000E-006, -1.889592E+006,  2.299259E+005, -2.119518E+006
  1.030000E-006, -1.757966E+006, -3.708538E+006,  1.950572E+006
  1.040000E-006,  2.905664E+006,  7.248402E+005,  2.180824E+006
  1.050000E-006,  5.302676E+005, -9.120662E+005,  1.442334E+006
  1.060000E-006, -1.206449E+006, -1.303914E+006,  9.746484E+004
  1.070000E-006,  1.017475E+006,  2.047603E+006, -1.030128E+006
  1.080000E-006,  4.947615E+006,  2.347474E+006,  2.600141E+006
  1.090000E-006,  4.023116E+006,  7.800069E+005,  3.243109E+006
  1.100000E-006, -6.926928E+005, -3.258078E+004, -6.601121E+005
  1.110000E-006,  3.994729E+006,  1.916234E+006,  2.078495E+006
  1.120000E-006, -5.442891E+006, -7.945768E+005, -4.648314E+006
  1.130000E-006,  1.709223E+006,  1.079167E+006,  6.300558E+005
  1.140000E-006, -2.798823E+006, -2.772662E+006, -2.616058E+004
  1.150000E-006, -4.944903E+006, -3.755364E+006, -1.189539E+006
  1.160000E-006,  1.834097E+006,  1.379172E+006,  4.549247E+005
  1.170000E-006,  7.885024E+004,  5.235310E+005, -4.446808E+005
  1.180000E-006,  4.597477E+006,  2.667960E+006,  1.929516E+006
  1.190000E-006, -1.922548E+006,  3.572925E+005, -2.279840E+006
  1.200000E-006,  2.357756E+006, -6.339653E+004,  2.421153E+006
  1.210000E-006, -1.928146E+006, -2.119282E+006,  1.911365E+005
  1.220000E-006,  1.606401E+006,  1.607701E+006, -1.299455E+003
  1.230000E-006, -4.428135E+005,  8.720353E+005, -1.314849E+006
  1.240000E-006, -9.694745E+004, -2.338955E+006,  2.242008E+006
  1.250000E-006, -3.879991E+006, -4.817180E+006,  9.371891E+005
  1.260000E-006, -2.477613E+006, -2.817905E+006,  3.402920E+005
  1.270000E-006,  1.117811E+006,  2.091892E+006, -9.740809E+005
  1.280000E-006,  2.081503E+006,  1.918615E+006,  1.628880E+005
  1.290000E-006,  3.288258E+006,  1.768217E+006,  1.520041E+006
  1.300000E-006, -1.251032E+006, -2.271443E+005, -1.023888E+006
  1.310000E-006,  1.806303E+006,  1.632219E+006,  1.740844E+005
  1.320000E-006, -6.098969E+006, -5.071735E+006, -1.027234E+006
  1.330000E-006, -4.415088E+006, -1.914646E+006, -2.500442E+006
  1.340000E-006,  6.273839E+005,  3.329873E+005,  2.943966E+005
  1.350000E-006, -3.104270E+006, -1.533662E+006, -1.570608E+006
  1.360000E-006, -6.280236E+005, -1.833074E+006,  1.205051E+006
  1.370000E-006,  2.065790E+006, -4.168843E+005,  2.482675E+006
  1.380000E-006,  9.907577E+004, -8.970546E+005,  9.961304E+005
  1.390000E-006,  1.543831E+006,  7.777772E+005,  7.660539E+005
  1.400000E-006, -1.317456E+006, -2.255357E+005, -1.091920E+006
  1.410000E-006,  1.051261E+006, -1.301738E+006,  2.352999E+006
  1.420000E-006,  1.169247E+006,  1.998876E+005,  9.693591E+005
  1.430000E-006,  5.563049E+005,  1.399546E+006, -8.432415E+005
  1.440000E-006,  6.454492E+005,  2.805123E+006, -2.159674E+006
  1.450000E-006,  1.589224E+006,  3.501909E+004,  1.554205E+006
  1.460000E-006, -7.042204E+005, -7.953245E+005,  9.110408E+004
  1.470000E-006, -2.378618E+006, -4.034882E+005, -1.975130E+006
  1.480000E-006,  5.865814E+005, -9.884272E+005,  1.575009E+006
  1.490000E-006, -2.091822E+006,  4.660212E+005, -2.557843E+006
