# time[s], delta_E_avg[eV], delta_E_cx_avg[eV], delta_E_el_avg[eV]
  8.700000E-007, -1.677858E-003,  5.939578E-003, -7.617436E-003
  8.800000E-007,  8.328148E-003,  6.669805E-003,  1.658343E-003
  8.900000E-007, -1.359280E-002, -3.348924E-003, -1.024387E-002
  9.000000E-007, -7.117913E-003, -5.664262E-003, -1.453650E-003
  9.100000E-007,  5.817403E-003,  7.321815E-003, -1.504412E-003
  9.200000E-007,  1.444721E-002,  1.344017E-002,  1.007036E-003
  9.300000E-007,  1.709240E-002,  1.746399E-002, -3.715856E-004
  9.400000E-007,  2.473463E-003, -3.987900E-003,  6.461362E-003
  9.500000E-007, -6.836088E-003, -7.206806E-003,  3.707175E-004
  9.600000E-007,  6.935099E-003,  2.598729E-003,  4.336371E-003
  9.700000E-007,  6.463520E-003, -1.835681E-003,  8.299201E-003
  9.800000E-007,  4.107958E-003, -1.341740E-003,  5.449698E-003
  9.900000E-007,  1.891575E-003,  1.023327E-002, -8.341692E-003
  1.000000E-006, -1.131255E-002, -8.830935E-003, -2.481613E-003
  1.010000E-006,  1.535030E-002,  7.912208E-003,  7.438091E-003
  1.020000E-006, -8.143934E-003, -3.507389E-003, -4.636545E-003
  1.030000E-006,  7.042260E-003,  9.764484E-003, -2.722224E-003
  1.040000E-006,  1.183457E-003,  9.067488E-003, -7.884031E-003
  1.050000E-006,  4.761536E-003,  7.125352E-003, -2.363816E-003
  1.060000E-006,  2.860905E-003, -1.400285E-003,  4.261191E-003
  1.070000E-006,  2.211224E-002,  1.428281E-002,  7.829426E-003
  1.080000E-006, -2.177080E-004,  1.857279E-003, -2.074987E-003
  1.090000E-006, -4.694424E-003, -3.690202E-004, -4.325403E-003
  1.100000E-006,  5.083452E-004, -2.169233E-003,  2.677578E-003
  1.110000E-006, -3.836279E-003, -4.681925E-003,  8.456460E-004
  1.120000E-006,  1.217821E-002,  7.926510E-003,  4.251700E-003
  1.130000E-006, -1.788713E-002, -5.197854E-003, -1.268927E-002
  1.140000E-006,  7.858685E-003,  3.390602E-003,  4.468083E-003
  1.150000E-006, -1.018127E-002, -1.212683E-002,  1.945558E-003
  1.160000E-006, -2.321631E-002, -1.189068E-002, -1.132563E-002
  1.170000E-006, -3.541935E-003, -6.297455E-004, -2.912190E-003
  1.180000E-006, -7.952333E-004, -1.607124E-003,  8.118908E-004
  1.190000E-006, -5.846892E-003, -8.051346E-003,  2.204454E-003
  1.200000E-006, -2.806088E-002, -2.051843E-002, -7.542451E-003
  1.210000E-006, -1.464079E-003, -4.670863E-003,  3.206783E-003
  1.220000E-006, -1.061769E-002,  2.262463E-003, -1.288016E-002
  1.230000E-006,  8.836938E-003,  5.903685E-003,  2.933253E-003
  1.240000E-006,  1.341445E-002,  1.460796E-002, -1.193506E-003
  1.250000E-006, -2.098572E-002, -1.103972E-002, -9.946003E-003
  1.260000E-006, -8.769532E-003, -1.277727E-003, -7.491805E-003
  1.270000E-006,  1.021591E-002,  1.889948E-003,  8.325965E-003
  1.280000E-006, -9.017273E-003, -6.322380E-003, -2.694893E-003
  1.290000E-006,  1.319017E-002,  1.640089E-002, -3.210715E-003
  1.300000E-006,  2.322019E-002,  1.745515E-002,  5.765042E-003
  1.310000E-006, -7.693809E-003, -9.815917E-003,  2.122108E-003
  1.320000E-006,  2.924091E-003,  5.985677E-003, -3.061587E-003
  1.330000E-006,  1.707714E-003,  4.896550E-003, -3.188836E-003
  1.340000E-006, -1.688804E-003, -1.151739E-003, -5.370650E-004
  1.350000E-006,  1.636676E-002,  1.026626E-002,  6.100496E-003
  1.360000E-006,  5.631031E-003,  8.185779E-003, -2.554748E-003
  1.370000E-006,  2.236842E-003,  3.423831E-003, -1.186988E-003
  1.380000E-006, -6.436956E-003, -8.029043E-003,  1.592087E-003
  1.390000E-006, -1.004197E-002, -7.274018E-003, -2.767948E-003
  1.400000E-006,  8.632442E-003,  6.524642E-003,  2.107799E-003
  1.410000E-006,  1.048487E-003,  7.249106E-003, -6.200619E-003
  1.420000E-006,  6.061543E-003,  6.708507E-003, -6.469649E-004
  1.430000E-006, -7.949018E-003, -4.663506E-003, -3.285512E-003
  1.440000E-006,  5.057057E-003,  1.700823E-003,  3.356234E-003
  1.450000E-006,  1.954755E-003,  4.003954E-003, -2.049199E-003
  1.460000E-006,  1.682652E-002,  1.256198E-002,  4.264537E-003
  1.470000E-006, -7.139013E-003,  1.785346E-003, -8.924359E-003
  1.480000E-006,  3.796101E-003,  2.261972E-003,  1.534129E-003
  1.490000E-006,  1.947224E-002,  1.363977E-002,  5.832470E-003
  1.500000E-006, -4.693297E-003,  1.828756E-003, -6.522053E-003
  1.510000E-006,  2.890588E-003,  7.445030E-003, -4.554443E-003
  1.520000E-006,  1.078544E-002,  1.207505E-002, -1.289616E-003
  1.530000E-006, -8.323761E-004, -3.161084E-003,  2.328708E-003
  1.540000E-006,  1.702170E-004,  3.852301E-003, -3.682084E-003
  1.550000E-006, -7.333125E-003, -7.289779E-003, -4.334663E-005
  1.560000E-006, -2.694400E-003, -8.357033E-003,  5.662633E-003
  1.570000E-006, -4.198012E-003,  3.845171E-003, -8.043183E-003
  1.580000E-006,  4.003613E-003,  4.929606E-003, -9.259931E-004
  1.590000E-006, -9.297500E-003, -1.324501E-002,  3.947513E-003
  1.600000E-006,  1.695054E-003, -1.945817E-003,  3.640871E-003
  1.610000E-006, -7.012305E-003,  1.349149E-003, -8.361455E-003
  1.620000E-006,  1.909815E-003,  6.391324E-003, -4.481509E-003
  1.630000E-006,  1.684235E-002,  1.359098E-002,  3.251369E-003
  1.640000E-006, -9.025821E-004, -5.041793E-003,  4.139211E-003
  1.650000E-006, -4.506562E-003,  1.683358E-003, -6.189920E-003
  1.660000E-006,  5.719701E-003,  1.350249E-002, -7.782785E-003
  1.670000E-006, -7.818102E-003, -9.570969E-003,  1.752867E-003
  1.680000E-006, -1.024048E-002, -7.326796E-003, -2.913683E-003
  1.690000E-006,  7.338157E-003,  7.851495E-003, -5.133380E-004
  1.700000E-006,  1.301829E-002,  9.294104E-003,  3.724189E-003
  1.710000E-006, -3.793775E-003, -1.155241E-003, -2.638533E-003
  1.720000E-006, -6.177782E-003,  2.404396E-003, -8.582178E-003
  1.730000E-006, -6.214224E-003, -7.962023E-003,  1.747799E-003
  1.740000E-006, -7.188641E-003, -1.084507E-002,  3.656432E-003
  1.750000E-006, -1.068724E-002, -4.400451E-003, -6.286788E-003
  1.760000E-006, -1.353089E-002,  1.845639E-003, -1.537653E-002
  1.770000E-006, -2.094481E-002, -1.438732E-002, -6.557483E-003
  1.780000E-006,  1.418883E-002,  7.524722E-003,  6.664109E-003
  1.790000E-006,  1.820741E-002,  7.203871E-003,  1.100354E-002
  1.800000E-006,  2.251252E-002,  1.877960E-002,  3.732916E-003
  1.810000E-006,  1.053881E-002,  4.484501E-003,  6.054308E-003
  1.820000E-006, -7.456046E-003, -3.719554E-004, -7.084091E-003
  1.830000E-006,  4.621899E-003,  3.638757E-003,  9.831422E-004
  1.840000E-006,  3.014230E-003,  6.023025E-003, -3.008794E-003
  1.850000E-006, -1.566590E-003,  1.299326E-003, -2.865916E-003
  1.860000E-006, -1.184279E-002, -1.723092E-002,  5.388132E-003
  1.870000E-006,  6.389884E-004,  4.205655E-003, -3.566667E-003
  1.880000E-006, -6.355624E-003, -3.148187E-003, -3.207437E-003
  1.890000E-006, -2.338613E-003, -3.615423E-003,  1.276810E-003
  1.900000E-006,  2.143511E-003,  3.220522E-003, -1.077010E-003
  1.910000E-006,  2.850653E-003,  9.511326E-003, -6.660674E-003
  1.920000E-006, -1.048556E-002, -8.603534E-003, -1.882028E-003
  1.930000E-006, -1.566578E-003,  9.347961E-005, -1.660058E-003
  1.940000E-006,  3.719456E-004,  7.145319E-003, -6.773373E-003
  1.950000E-006, -4.449910E-003,  7.901911E-003, -1.235182E-002
  1.960000E-006, -1.046227E-002, -2.942693E-003, -7.519575E-003
  1.970000E-006,  3.261955E-003,  1.301489E-002, -9.752936E-003
  1.980000E-006, -5.556985E-004, -7.344950E-003,  6.789251E-003
  1.990000E-006,  7.111095E-005, -3.954056E-003,  4.025167E-003
  2.000000E-006,  4.704610E-003,  5.855413E-005,  4.646056E-003
